id,title,artist,date,score,link
59,Memphis,Magic Kids,2010-08-31,8.0,https://www.youtube.com/watch?v=87H2nRX0Ya8
60,Interpol,Interpol,2010-09-02,5.0,https://www.youtube.com/watch?v=nu23M18PwPE
61,Illumination,Miami Horror,2010-09-05,7.0,https://www.youtube.com/watch?v=5QPBbc5PmAQ
62,Lawless Darkness,Watain,2010-09-06,6.0,https://www.youtube.com/watch?v=HQx-nFyc0So
63,Patagonian Rats,Tera Melos,2010-09-07,5.0,https://www.youtube.com/watch?v=oL-_u9IKQfc
64,Hurley,Weezer,2010-09-08,7.0,https://www.youtube.com/watch?v=HtZpjuo2BBo
65,False Priest,of Montreal,2010-09-09,5.0,https://www.youtube.com/watch?v=Jhxy8MV9S70
66,Penny Sparkle,Blonde Redhead,2010-09-12,8.0,https://www.youtube.com/watch?v=jNBYi07Q7GQ
67,Grinderman 2,Grinderman,2010-09-13,7.0,https://www.youtube.com/watch?v=1RuC_S06xwY
68,Lisbon,The Walkmen,2010-09-14,5.0,https://www.youtube.com/watch?v=ZJcfSk9f3YE
69,Business Casual,Chromeo,2010-09-15,9.0,https://www.youtube.com/watch?v=NTqEw597UZI
70,In Evening Air,Future Islands,2010-09-19,7.0,https://www.youtube.com/watch?v=RXEfX-diMwc
71,Album of the Year,Black Milk,2010-09-20,4.0,https://www.youtube.com/watch?v=KJUXbD0MlHU
72,Wilderness Heart,Black Mountain,2010-09-21,6.0,https://www.youtube.com/watch?v=9pVPVR_oYuM
73,Pattern+Grid World,Flying Lotus,2010-09-22,8.0,https://www.youtube.com/watch?v=F2HofRWJrc4
74,My Father Will Guide Me Up a Rope to the Sky,Swans,2010-09-23,6.0,https://www.youtube.com/watch?v=N7LyYAx3bpU
75,Halcyon Digest,Deerhunter,2010-09-24,8.0,https://www.youtube.com/watch?v=LP-Vdm27vS4
76,Unsilent Death,Nails,2010-09-26,9.0,https://www.youtube.com/watch?v=z1ahI9rAFgU
77,Everything In Between,No Age,2010-09-27,6.0,https://www.youtube.com/watch?v=w8Bs5XGU1vg
78,Le Noise,Neil Young,2010-09-28,5.0,https://www.youtube.com/watch?v=kxHrdmYZrxE
79,Public Strain,Women,2010-09-29,9.0,https://www.youtube.com/watch?v=qMsnKVtohy0
80,King Night,Salem,2010-09-30,2.0,https://www.youtube.com/watch?v=pwDvi7BFJGw
81,Sometimes the Blues Is Just a Passing Bird,The Tallest Man On Earth,2010-10-03,8.0,https://www.youtube.com/watch?v=MzYQR6ePkiw
82,Crush,Abe Vigoda,2010-10-04,4.0,https://www.youtube.com/watch?v=fNVNPtj1IsM
83,Forget,Twin Shadow,2010-10-05,8.0,https://www.youtube.com/watch?v=CB-HKdkM7hg
84,Record Collection,Mark Ronson & The Business Intl.,2010-10-07,5.0,https://www.youtube.com/watch?v=wpzMfharbwE
85,The Age of Adz,Sufjan Stevens,2010-10-10,6.0,https://www.youtube.com/watch?v=0_2WZbMsIeI
86,Play It Strange,The Fresh & Onlys,2010-10-12,4.0,https://www.youtube.com/watch?v=9J9VqG7mBxE
87,Holkham Drones,Luke Abbott,2010-10-13,8.0,https://www.youtube.com/watch?v=czrckuVdzUk
88,Epic,Sharon Van Etten,2010-10-14,7.0,https://www.youtube.com/watch?v=edCRJuyXjl0
89,Down There,Avey Tare,2010-10-17,5.0,https://www.youtube.com/watch?v=BNBfo24nEE8
90,Death Gate,The Gaslamp Killer,2010-10-18,7.0,https://www.youtube.com/watch?v=9ZQyNDad3c0
91,Come Around Sundown,Kings of Leon,2010-10-19,4.0,https://www.youtube.com/watch?v=xBxvMXOjHM4
92,Face Tat,Zach Hill,2010-10-20,5.0,https://www.youtube.com/watch?v=Oblv8bB5ZLQ
93,Black City,Matthew Dear,2010-10-24,7.0,https://www.youtube.com/watch?v=rzj_j93PWdw
94,The Fool,Warpaint,2010-10-25,6.0,https://www.youtube.com/watch?v=6IBcwokLzbI
95,Special Affections,Diamond Rings,2010-10-26,8.0,https://www.youtube.com/watch?v=Cy_FBsloKIk
96,Satan Worshipping Doom,Bongripper,2010-10-28,8.0,https://www.youtube.com/watch?v=j7BRmTNLRTc
98,Love Remains,How To Dress Well,2010-10-31,4.0,https://www.youtube.com/watch?v=Gcxdgfr9gpw
99,Black Masses,Electric Wizard,2010-11-01,6.0,https://www.youtube.com/watch?v=wumo4Urajx4
100,Small Craft On A Milk Sea,Brian Eno,2010-11-02,8.0,https://www.youtube.com/watch?v=RkumjdJ-Eew
101,"Shut Up, Dude / Sit Down, Man",Das Racist,2010-11-03,6.0,https://www.youtube.com/watch?v=XvPpOLp-8LM
102,Man on the Moon II: The Legend of Mr. Rager,Kid Cudi,2010-11-04,6.0,https://www.youtube.com/watch?v=KOLkwwzrn7w
103,Lucky Shiner,Gold Panda,2010-11-06,7.0,https://www.youtube.com/watch?v=hWJ40emz1ew
104,Sidewalks,Matt & Kim,2010-11-07,5.0,https://www.youtube.com/watch?v=WjH-L0Pke7Q
105,The Lady Killer,Cee Lo Green,2010-11-08,7.0,https://www.youtube.com/watch?v=x217SO9VPwE
106,Sports,Weekend,2010-11-10,8.0,https://www.youtube.com/watch?v=yetM0u9wqck
107,Ardour,Teebs,2010-11-12,6.0,https://www.youtube.com/watch?v=oPQy0fn2Ypk
108,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-16,6.0,https://www.youtube.com/watch?v=Jo4S2qlQGs0
109,Marrow of the Spirit,Agalloch,2010-11-17,8.0,https://www.youtube.com/watch?v=ASYMfU7wpiI
110,All Day,Girl Talk,2010-11-18,8.0,https://www.youtube.com/watch?v=GMKfsj1fg5g
111,Broken Dreams Club,Girls,2010-11-23,5.0,https://www.youtube.com/watch?v=iBvPmPp4Xbg
112,Ring,Glasser,2010-11-25,8.0,https://www.youtube.com/watch?v=ty0id9qHcq8
113,Pyramid of the Sun,Maserati,2010-11-27,7.0,https://www.youtube.com/watch?v=btaQdzwfvDM
114,First Four EPs,OFF!,2010-11-29,8.0,https://www.youtube.com/watch?v=edXP5f4CFT8
116,Bastard,"Tyler, the Creator",2010-12-02,7.0,https://www.youtube.com/watch?v=_2RPGAA6p4E
117,777 Volume One,Tonetta,2010-12-05,6.0,https://www.youtube.com/watch?v=EZOQBqCPQHc
118,Scary Monsters and Nice Sprites,Skrillex,2010-12-06,7.0,https://www.youtube.com/watch?v=AyzpDXRVbwA
119,Shit Computer,Kids & Explosions,2010-12-07,8.0,https://www.youtube.com/watch?v=nQe_rTrxGyA
120,Anika,Anika,2010-12-08,3.0,https://www.youtube.com/watch?v=iqD6M8V0A5U
121,Senior,Röyksopp,2010-12-09,5.0,https://www.youtube.com/watch?v=aVZ9A4Ehw_g
122,Rising Sun,The Souljazz Orchestra,2010-12-20,8.0,https://www.youtube.com/watch?v=9EIhfqzJEnk
123,Apollo Kids,Ghostface Killah,2010-12-21,8.0,https://www.youtube.com/watch?v=6urd4Zke2os
124,Dark Country Magic,Big Blood,2010-12-27,7.0,https://www.youtube.com/watch?v=Uu1_BYX8ars
125,The Fall,Gorillaz,2010-12-28,5.0,https://www.youtube.com/watch?v=oxiaceqXWbA
126,TSOL,Shad,2010-12-30,6.0,https://www.youtube.com/watch?v=Cw0jTXZBwDY
127,ViCKi LEEKX,M.I.A.,2011-01-03,6.0,https://www.youtube.com/watch?v=tmgAH3ytu0Y
128,Kills,jj,2011-01-05,3.0,https://www.youtube.com/watch?v=qrq1QohxWwU
129,All Pigs Must Die,All Pigs Must Die,2011-01-06,7.0,https://www.youtube.com/watch?v=iE5p3GCzoxI
130,Showroom of Compassion,Cake,2011-01-09,7.0,https://www.youtube.com/watch?v=o3aI489UkdI
131,Red Barked Tree,Wire,2011-01-10,5.0,https://www.youtube.com/watch?v=QT3w-swBFd4
132,Valhalla Dancehall,British Sea Power,2011-01-11,8.0,https://www.youtube.com/watch?v=PzKcgB0n5XE
133,"Thank You, Happy Birthday",Cage the Elephant,2011-01-13,5.0,https://www.youtube.com/watch?v=PD-2gGas94M
134,Opus Eponymous,Ghost,2011-01-15,8.0,https://www.youtube.com/watch?v=vtDvu9PVcJc
135,After School Special,A-1,2011-01-17,7.0,https://www.youtube.com/watch?v=X1nALCk5kMU
136,Dye It Blonde,Smith Westerns,2011-01-18,7.0,https://www.youtube.com/watch?v=q1go3WwvCvY
137,Ritual,White Lies,2011-01-20,4.0,https://www.youtube.com/watch?v=YTJ2dzQhSrM
138,Unlearn,Fergus & Geronimo,2011-01-21,8.0,https://www.youtube.com/watch?v=XtmTM3AIdLI
140,Kaputt,Destroyer,2011-01-25,9.0,https://www.youtube.com/watch?v=2IWjwiuBG4A
141,The King Is Dead,The Decemberists,2011-01-26,4.0,https://www.youtube.com/watch?v=WhC9kcctI8s
142,Kvelertak,Kvelertak,2011-01-27,8.0,https://www.youtube.com/watch?v=kp-3jPaY7yU
143,Native Speaker,Braids,2011-01-31,7.0,https://www.youtube.com/watch?v=mYez03fRUBs
144,White Wilderness,John Vanderslice,2011-02-03,6.0,https://www.youtube.com/watch?v=kLFGEHpPi3w
145,Elephants at the Door,Dumbo Gets Mad,2011-02-04,8.0,https://www.youtube.com/watch?v=HMTBo9huzi0
146,"Angels of Darkness, Demons of Light I",Earth,2011-02-07,7.0,https://www.youtube.com/watch?v=Pj6SHbpDnSc
147,Zonoscope,Cut Copy,2011-02-08,5.0,https://www.youtube.com/watch?v=k83AU5xksp0
148,James Blake,James Blake,2011-02-09,7.0,https://www.youtube.com/watch?v=Qqw9bnffDsY
149,Natural Child 7'',Natural Child,2011-02-11,8.0,https://www.youtube.com/watch?v=HAaEjb9l180
150,"Hardcore Will Never Die, but You Will",Mogwai,2011-02-15,8.0,https://www.youtube.com/watch?v=4DsiwriEgBE
151,Angels Exodus,Lil B,2011-02-16,3.0,https://www.youtube.com/watch?v=rcz78ic8CGw
152,V,Vreid,2011-02-17,6.0,https://www.youtube.com/watch?v=FGaO0divFf0
153,Space Is Only Noise,Nicolas Jaar,2011-02-18,8.0,https://www.youtube.com/watch?v=Pc5Hutyj2AA
154,The King of Limbs,Radiohead,2011-02-20,6.0,https://www.youtube.com/watch?v=FnfNcqX5AAA
155,New History Warfare Vol. 2: Judges,Colin Stetson,2011-02-21,8.0,https://www.youtube.com/watch?v=0BFLDVGvTrQ
156,Underneath the Pine,Toro y Moi,2011-02-22,6.0,https://www.youtube.com/watch?v=KtTU7nPAp5Q
157,Let England Shake,PJ Harvey,2011-02-24,8.0,https://www.youtube.com/watch?v=3-IGABC6rlU
158,Higher Learning Vol. 2,Fashawn,2011-02-25,6.0,https://www.youtube.com/watch?v=-F1V2oPhlso
159,Yuck,Yuck,2011-02-27,5.0,https://www.youtube.com/watch?v=6ZYy4gP1J3s
160,Mosaik,Siriusmo,2011-02-28,7.0,https://www.youtube.com/watch?v=Agg3HH0x_eA
161,All Eternals Deck,The Mountain Goats,2011-03-01,8.0,https://www.youtube.com/watch?v=hNmz05kGJgo
162,"Different Gear, Still Speeding",Beady Eye,2011-03-03,3.0,https://www.youtube.com/watch?v=vqcaYZSjJE0
163,Jason...The Dragon,Weedeater,2011-03-04,7.0,https://www.youtube.com/watch?v=_ccX1kbdU4U
164,"Ravedeath, 1972",Tim Hecker,2011-03-06,8.0,https://www.youtube.com/watch?v=Gc0Jpf_25a4
165,Lasers,Lupe Fiasco,2011-03-07,3.0,https://www.youtube.com/watch?v=Cy67iqBfdws
166,Shaolin vs. Wu-Tang,Raekwon,2011-03-08,5.0,https://www.youtube.com/watch?v=USKRwIsBG04
167,Fallen,Burzum,2011-03-10,6.0,https://www.youtube.com/watch?v=RS6qsVXB7h8
168,R.E.K.S.,Reks,2011-03-14,8.0,https://www.youtube.com/watch?v=nJqkgqRwqAw
169,Angles,The Strokes,2011-03-24,7.0,https://www.youtube.com/watch?v=d5o1V3lxGH0
170,Belong,The Pains of Being Pure at Heart,2011-03-26,8.0,https://www.youtube.com/watch?v=JKqAHPICR60
171,Idle Labor,Craft Spells,2011-03-27,8.0,https://www.youtube.com/watch?v=DYEbtRPKnmw
172,Mind Bokeh,Bibio,2011-03-30,5.0,https://www.youtube.com/watch?v=TOtTxtBWZ5k
173,Returnof4eva,Big K.R.I.T.,2011-03-31,9.0,https://www.youtube.com/watch?v=RG3E7xK6Oq4
174,Darker Handcraft,Trap Them,2011-04-04,7.0,https://www.youtube.com/watch?v=bRPT-bxzQxw
175,Tomboy,Panda Bear,2011-04-06,5.0,https://www.youtube.com/watch?v=05JqiVVSJSk
176,Holy Ghost!,Holy Ghost!,2011-04-07,8.0,https://www.youtube.com/watch?v=5PSH6cV4N-I
177,What Did You Expect From the Vaccines?,The Vaccines,2011-04-08,6.0,https://www.youtube.com/watch?v=vph5xGBPCOE
178,Creep On Creepin' On,Timber Timbre,2011-04-10,8.0,https://www.youtube.com/watch?v=mKM5Z5n8Mi0
179,Nine Types of Light,TV on the Radio,2011-04-12,6.0,https://www.youtube.com/watch?v=LNB3Cy4djB4
180,House of Balloons,The Weeknd,2011-04-13,3.0,https://www.youtube.com/watch?v=OwxUIz-Thwc
181,In Love With Oblivion,Crystal Stilts,2011-04-14,8.0,https://www.youtube.com/watch?v=lvnSmbU4nWY
182,The English Riviera,Metronomy,2011-04-18,7.0,https://www.youtube.com/watch?v=yEd2D-ukjZs
183,Wasting Light,Foo Fighters,2011-04-19,6.0,https://www.youtube.com/watch?v=IfnHn2hWWzA
184,Cursed,Rotten Sound,2011-04-19,5.0,https://www.youtube.com/watch?v=1clWfouQyjg
185,Dirge,Wormrot,2011-04-20,8.0,https://www.youtube.com/watch?v=JEML7td1D3s
186,W H O K I L L,tUnE-yArDs,2011-04-21,7.0,https://www.youtube.com/watch?v=DSjCcInCqOk
187,Blood Pressures,The Kills,2011-04-22,4.0,https://www.youtube.com/watch?v=deKmw1zDkGc
188,Apocalypse,Bill Callahan,2011-04-25,6.0,https://www.youtube.com/watch?v=1EWVlDIRUR4
189,Oneirology,CunninLynguists,2011-04-26,8.0,https://www.youtube.com/watch?v=f6df3Yo-aSE
190,Hot Sauce Committee Part Two,Beastie Boys,2011-04-27,9.0,https://www.youtube.com/watch?v=qv-cNmuNi64
191,"Take Care, Take Care, Take Care",Explosions In the Sky,2011-04-28,5.0,https://www.youtube.com/watch?v=qwRR5uCTvas
192,Helplessness Blues,Fleet Foxes,2011-05-02,9.0,https://www.youtube.com/watch?v=ztqWF4z9kAw
193,Burst Apart,The Antlers,2011-05-04,4.0,https://www.youtube.com/watch?v=5chNEtG0ETI
194,Exmilitary,Death Grips,2011-05-05,8.0,https://www.youtube.com/watch?v=AZegHBU-ffQ
195,Goblin,"Tyler, the Creator",2011-05-06,4.0,https://www.youtube.com/watch?v=IT2XYrIJHSA
196,Smother,Wild Beasts,2011-05-10,7.0,https://www.youtube.com/watch?v=j1JbIzOtBj4
197,Turtleneck and Chain,The Lonely Island,2011-05-11,5.0,https://www.youtube.com/watch?v=IMRNfB8l_tU
198,Aesthethica,Liturgy,2011-05-12,8.0,https://www.youtube.com/watch?v=on1vkPNRFwg
199,Simple Math,Manchester Orchestra,2011-05-13,4.0,https://www.youtube.com/watch?v=hgryNZz-34Q
200,Ascension,Jesu,2011-05-15,5.0,https://www.youtube.com/watch?v=nyHhmEHt5qo
201,ISAM,Amon Tobin,2011-05-16,7.0,https://www.youtube.com/watch?v=O-6hnRcicVc
202,Homo,The UV Race,2011-05-18,8.0,https://www.youtube.com/watch?v=WIyRRLBsukw
203,Tunnel Blanket,This Will Destroy You,2011-05-19,6.0,https://www.youtube.com/watch?v=6Igq-xjJ31A
204,Balkans,Balkans,2011-05-20,7.0,https://www.youtube.com/watch?v=Pj9pEejYtFc
205,Elmatic,Elzhi,2011-05-24,8.0,https://www.youtube.com/watch?v=orxEQ343cVo
207,Heavy Rocks / Attention Please,Boris,2011-05-26,6.0,https://www.youtube.com/watch?v=EpoCK7SOutg
208,Blue Suicide,Coma Cinema,2011-05-27,7.0,https://www.youtube.com/watch?v=Q3W2rJhXMEc
209,Circuital,My Morning Jacket,2011-05-31,5.0,https://www.youtube.com/watch?v=4GngIvsARm8
210,Lover's Holiday,Theophilus London,2011-06-01,8.0,https://www.youtube.com/watch?v=SVy-uU84ApQ
211,Codes and Keys,Death Cab for Cutie,2011-06-02,7.0,https://www.youtube.com/watch?v=ANJ3E5-p8Eo
212,Time Is Up,Havok,2011-06-03,8.0,https://www.youtube.com/watch?v=Xa4YaYOdYAY
213,W,Planningtorock,2011-06-04,2.0,https://www.youtube.com/watch?v=14sLvv_ykmE
214,Sun and Shade,Woods,2011-06-06,5.0,https://www.youtube.com/watch?v=CrnkL-ewcck
215,Suck It and See,Arctic Monkeys,2011-06-07,5.0,https://www.youtube.com/watch?v=y39aOgNMgik
216,Snake Oil,Snake Oil,2011-06-08,7.0,https://www.youtube.com/watch?v=9_qPevj08xM
217,Gloss Drop,Battles,2011-06-09,9.0,https://www.youtube.com/watch?v=zWDo8gGwRfk
218,David Comes to Life,Fucked Up,2011-06-13,5.0,https://www.youtube.com/watch?v=K-J6VwasuOg
219,Poor Lily,Poor Lily,2011-06-14,8.0,https://www.youtube.com/watch?v=1J2Fi3fiN7s
220,Go Tell Fire To The Mountain,WU LYF,2011-06-15,5.0,https://www.youtube.com/watch?v=kR3sN2WTOh8
221,Living With the Ancients,Blood Ceremony,2011-06-16,7.0,https://www.youtube.com/watch?v=WIX13DiXBe8
222,Hell: The Sequel,Bad Meets Evil,2011-06-17,6.0,https://www.youtube.com/watch?v=6RCLxGb4BPE
223,Bon Iver,Bon Iver,2011-06-21,6.0,https://www.youtube.com/watch?v=j_LB2pqybaM
224,New Brigade,Iceage,2011-06-23,8.0,https://www.youtube.com/watch?v=wgqY757V0-Y
225,SBTRKT,SBTRKT,2011-06-24,8.0,https://www.youtube.com/watch?v=6p3xVcQZuCY
226,Cults,Cults,2011-06-26,4.0,https://www.youtube.com/watch?v=dFa1CV4IzhM
227,Black Up,Shabazz Palaces,2011-06-28,8.0,https://www.youtube.com/watch?v=-f4DyUGCg0w
228,Sam Baker's Album,Samiyam,2011-07-01,5.0,https://www.youtube.com/watch?v=2zmWqxEUYiE
230,Strange Moosic,Herman Dune,2011-07-05,7.0,https://www.youtube.com/watch?v=zEHPgX9w9R4
231,The Destroyers of All,Ulcerate,2011-07-06,7.0,https://www.youtube.com/watch?v=Wp20Qxx2lOc
233,Section.80,Kendrick Lamar,2011-07-10,8.0,https://www.youtube.com/watch?v=1nYHyZgD5zM
234,Within and Without,Washed Out,2011-07-12,6.0,https://www.youtube.com/watch?v=w9iUTLxA2_0
235,Skying,The Horrors,2011-07-13,7.0,https://www.youtube.com/watch?v=6mqaOPpyIsc
236,Escape Velocity,Zombi,2011-07-17,8.0,https://www.youtube.com/watch?v=BrT6sEYrXew
237,Parting the Sea Between Brightness and Me,Touché Amoré,2011-07-18,7.0,https://www.youtube.com/watch?v=xiS0XwgBmmA
238,When Fish Ride Bicycles,The Cool Kids,2011-07-19,4.0,https://www.youtube.com/watch?v=-jvtyvMWE88
239,Conjure and Command,Toxic Holocaust,2011-07-20,8.0,https://www.youtube.com/watch?v=Lu7PAAopMyY
240,In the Mountain In the Cloud,Portugal. The Man,2011-07-21,6.0,https://www.youtube.com/watch?v=Uknh7QaW87Y
241,Join Us,They Might Be Giants,2011-07-25,5.0,https://www.youtube.com/watch?v=TyGMJtRPF78
242,Ritual Union,Little Dragon,2011-07-27,8.0,https://www.youtube.com/watch?v=LK5U4DeBO_o
243,BlackenedWhite,MellowHype,2011-07-28,6.0,https://www.youtube.com/watch?v=-nG5Q3kMgq8
244,Towards the Megalith,Disma,2011-07-31,9.0,https://www.youtube.com/watch?v=SaiXRdS1gl0
245,Unknown Mortal Orchestra,Unknown Mortal Orchestra,2011-08-01,5.0,https://www.youtube.com/watch?v=hN5hDEvNMGU
246,Room(s),Machinedrum,2011-08-02,6.0,https://www.youtube.com/watch?v=PaWQFOJ7D4o
247,Satin Panthers,Hudson Mohawke,2011-08-03,7.0,https://www.youtube.com/watch?v=TR7xn0tJ-7E
249,The Rip Tide,Beirut,2011-08-08,6.0,https://www.youtube.com/watch?v=z_dFxCKsLvg
250,Watch the Throne,Kanye West & Jay-Z,2011-08-09,5.0,https://www.youtube.com/watch?v=HLMuUZhHZqE
251,Coin Coin Chapter One: Gens de Couleur Libres,Matana Roberts,2011-08-10,8.0,https://www.youtube.com/watch?v=7hpw4H18k3M
252,Cerebral Ballzy,Cerebral Ballzy,2011-08-11,3.0,https://www.youtube.com/watch?v=L8adbT0u1rA
253,Pressure & Time,Rival Sons,2011-08-15,7.0,https://www.youtube.com/watch?v=1G57MNa37Nc
254,Ἀποκάλυψις,Chelsea Wolfe,2011-08-18,8.0,https://www.youtube.com/watch?v=FMhrhf5kENY
255,Slave Ambient,The War On Drugs,2011-08-19,6.0,https://www.youtube.com/watch?v=IqaUt85GOH4
256,93 Million Miles,Africa Hitech,2011-08-21,8.0,https://www.youtube.com/watch?v=dnYa0GqNk8M
257,You Are All I See,Active Child,2011-08-23,6.0,https://www.youtube.com/watch?v=KXUyCz1rYM0
258,XXX,Danny Brown,2011-08-24,8.0,https://www.youtube.com/watch?v=DPeE28Fb_L8
259,Honkey Kong,Apathy,2011-08-25,7.0,https://www.youtube.com/watch?v=aAKCV2xq4ak
260,Giles Corey,Giles Corey,2011-08-29,8.0,https://www.youtube.com/watch?v=d8kP_uGxNfc
261,I'm With You,Red Hot Chili Peppers,2011-08-30,5.0,https://www.youtube.com/watch?v=QTR2Gxt4Hmc
